Run,Volcano,Dazim,Veff,Total,TP,FP,Cross,TP_pct,Cross_targets
20260404T210517,Calbuco,5.0,False,45,45,0,0,100.0,
20260404T213629,Calbuco,10.0,False,61,49,12,0,80.3,
20260426T004159,Villarrica,10.0,False,122,0,0,122,0.0,cross:Calbuco
20260426T015621,Chaiten,10.0,False,17,17,0,0,100.0,
20260426T015833,Calbuco,,,0,0,0,0,0.0,
20260426T015909,Calbuco,5.0,False,45,45,0,0,100.0,
20260426T015946,Calbuco,,,0,0,0,0,0.0,
20260205T084320,Puyehue-Cordon Caulle,3.0,BGR,2461,2432,29,0,98.8,
20260205T090709,Puyehue-Cordon Caulle,3.0,BGR,73,35,38,0,47.9,
20260404T205937,Puyehue-Cordon Caulle,3.0,BGR,2461,2432,29,0,98.8,
20260404T213646,Puyehue-Cordon Caulle,3.0,BGR,2461,2432,29,0,98.8,
